Word/Phrase,Definition,gen_z,Popularity/Trend Level,normal
Bop,A song that's really good.,"""That new track is a bop.""",Medium,That new song is excellent.
Bounce,To leave or exit.,"""I'm bouncing, see you later.""",Medium,"I am leaving now, goodbye."
Cancelled,Publicly denounced and rejected.,"""She got cancelled after that post.""",High,Her reputation was ruined following that post.
Chill,Relaxed or easy-going.,"""I'm just chilling today.""",High,I am simply relaxing today.
Cringe,Embarrassing or awkward.,"""That video was cringe.""",High,That video was embarrassing.
DM,Direct Message on social media.,"""I'll DM you the details.""",High,I will send you the details via direct message.
Dope,Cool or excellent.,"""That jacket is dope.""",High,That jacket is excellent.
Flex,To show off or boast.,"""He's flexing his new phone.""",High,He is showing off his new phone.
GOAT,Greatest Of All Time.,"""Jordan is the GOAT.""",High,Jordan is the greatest of all time
High-Key,Emphatically or openly.,"""I'm high-key excited for this.""",High,I am very excited for this.
Hype,Intense excitement.,"""The hype is real.""",High,The level of enthusiasm is justified
Karen,Entitled or demanding woman.,"""Don't be such a Karen.""",High,Do not be so unreasonably demanding.
L,Loss or failure.,"""We took the L on that one.""",High,We accepted the loss in that situation.
Noob,Newbie or beginner.,"""He's such a noob at this game.""",Medium,He is inexperienced at this game.
Oof,An expression of sympathy.,"""Oof, that must have hurt.""",High,That appears to be painful.
Periodt,Used to emphasize the end of a statement.,"""And that's the truth, periodt.""",High,That is unequivocally the truth.
Receipts,Proof or evidence.,"""Show me the receipts for your claims.""",High,Provide the evidence to support your statements.
Shade,Subtle insult.,"""She's throwing shade at her ex.""",High,She is subtly disrespecting her former partner.
Simp,Someone who does too much for someone they like.,"""He's such a simp for her.""",High,He is extremely devoted to her.
Slaps,Really good.,"""This beat slaps.""",High,This musical track is excellent
Spill,Reveal the truth.,"""Spill the tea, what happened?""",High,Please tell me the details of what occurred
Stan,Obsessive fan.,"""I'm a stan for that band.""",High,I am an extremely enthusiastic and devoted fan of that musical group.
Sus,Suspicious or questionable.,"""That sounds sus to me.""",High,That sounds suspicious to me.
Thirsty,Desperate for attention or affection.,"""He's so thirsty for likes.""",High,He is extremely eager for approval on social media.
Vibes,Good energy.,"""I'm loving the vibes here.""",High,I enjoy the atmosphere in this location.
Wig,A reaction to something surprising or shocking.,"""My wig was snatched by that performance.""",Medium,I was incredibly impressed by that performance.
Yeet,To throw something with force; also used for excitement.,"""He yeeted the ball across the field.""",High,He threw the ball across the field.
Zoomer,A member of Generation Z.,"""As a Zoomer, she knows all the trends.""",Medium,"As a member of Generation Z, she is aware of all the current fashions and popular developments"
Boujee,Luxurious or fancy.,"""She's living the boujee life.""",High,She is living a luxurious life
Clout,Influence or power.,"""He's just doing it for the clout.""",High,He is only doing that for attention or influence.
Deadass,Seriously; genuinely.,"""I'm deadass not joking.""",High,I am truly being serious.
Drip,"Stylish or fashionable, especially in clothing.","""Check out my drip today.""",High,Observe my fashionable outfit today.
Extra,"Over the top, excessive.","""She's so extra with her outfits.""",Medium,Her outfits are excessive.
Finesse,To handle something skillfully.,"""He finessed his way into the club.""",Medium,He skillfully manipulated his entry into the establishment.
Ghosting,Suddenly cutting off all communication with someone.,"""He ghosted me after our date.""",High,He abruptly ceased all communication with me following our scheduled meeting.
Hits Different,Something that resonates on a deep level.,"""That song hits different.""",High,That song evokes a strong and unique emotional response.
JOMO,Joy Of Missing Out.,"""I'm all about JOMO these days.""",Medium,I am currently prioritizing the joy of missing out.
Living Rent-Free,Taking up a lot of mental space.,"""She's living rent-free in my mind.""",High,She is constantly on my mind.
Main Character,Acting like the main character in life.,"""She's totally giving main character vibes.""",Medium,She is fully displaying an impressive sense of self-confidence
Normalize,Make something the norm.,"""We need to normalize self-care.""",High,We must establish self-care as a conventional practice.
Oof,An expression of sympathy.,"""Oof, that must have hurt.""",High,That experience was likely painful.
Pressed,Angry or annoyed.,"""He's so pressed about the situation.""",Medium,He is feeling stressed or annoyed about the situation.
Resonate,Something that deeply connects or makes sense.,"""That quote really resonates with me.""",Medium,That statement is very relevant to my personal experience.
Shooketh,Extremely shocked.,"""I am shooketh by that twist.""",Medium,I am extremely surprised by that unexpected development
Swerve,To avoid or move away from something.,"""I had to swerve to avoid the drama.""",Medium,I had to avoid the conflict
Tight,Angry or frustrated.,"""He's tight about what happened.""",Medium,He is unwilling to share information about what occurred.
Unbothered,Not caring; unaffected.,"""She's completely unbothered by the hate.""",High,She is entirely unaffected by the criticism.
